fecha,lluvia_mm,eto_media_cuenca_mm,balance_diario_mm,lluvia_acum_7d,eto_acum_7d,balance_7d,lluvia_acum_30d,eto_acum_30d,balance_30d,lluvia_acum_90d,eto_acum_90d,balance_90d,lluvia_acum_180d,eto_acum_180d,balance_180d
2014-08-28,52.15175266084481,3.4136386683399804,48.73811399250483,68.00096285866053,27.535208128567362,40.46575473009318,119.79106411885834,117.56355607832776,2.227508040530644,270.0899445972446,338.7751342062461,-68.68518960900153,388.02144061616326,744.6265063481341,-356.6050657319708
2014-08-29,2.4011589182836324,3.5143529448822166,-1.1131940265985842,70.40212177694416,27.094304234185962,43.307817542758215,122.19222303714197,116.92894210053382,5.263280936608224,264.983605696063,338.9467432533522,-73.9631375572892,390.4128801234645,743.934021533364,-353.5211414098995
2014-08-30,15.216723929792597,3.9820886301773744,11.234635299615222,85.61884570673676,26.774140464849232,58.84470524188754,137.40894696693456,116.8789756247458,20.529971342188837,256.73316992871145,339.1918549823585,-82.45868505364712,405.62960405325714,743.5321620791085,-337.90255802585136
2014-08-31,1.6408583464303435,4.292513909137472,-2.6516555627071288,78.09971867880942,26.802385568011935,51.2973331107975,139.0498053133649,117.29070913920481,21.759096174160177,248.85462866444308,339.63282856792205,-90.77819990347896,407.27046239968746,743.758773046665,-336.4883106469776
2014-09-01,0.8913559131450509,3.9851476352583086,-3.0937917221132576,75.15843246930758,26.844587649078054,48.31384482022955,139.94116122650996,117.21392598993366,22.727235236576377,240.02458260022652,339.76599332000023,-99.74141071977367,407.79299827033924,743.3069978158443,-335.513999545505
2014-09-02,0.0,3.690163768001229,-3.690163768001229,72.37111735878766,26.75619878821592,45.61491857057175,132.56261984290762,117.04817191319295,15.514447929714752,231.1565751173709,339.57712361399314,-108.4205484966222,407.61412850477655,742.1154274634536,-334.50129895867695
2014-09-03,25.982338977282218,3.0247742010519647,22.957564776230253,98.28418874577862,25.902679756848546,72.38150898893008,158.1658977322364,115.47306771552357,42.692830016712904,250.49117811709007,339.118283069128,-88.62710495203787,433.59646748205876,740.4687775401004,-306.87231005804153
2014-09-04,8.131647557588174,3.2326567738636096,4.898990783724564,54.26408364252198,25.721697862372174,28.542385780149818,158.40256302287366,114.30819563201655,44.09436739085719,258.62282567467827,338.1724427711211,-79.54961709644283,441.7281150396469,738.9795477910036,-297.25143275135656
2014-09-05,4.140509009869098,3.383304515900572,0.7572044939685263,56.003433734107446,25.59064943339053,30.41278430071693,162.54307203274277,113.5168198405038,49.02625219223903,255.65155477540625,337.7096577656697,-82.05810299026335,445.86862404951603,738.0413465031485,-292.1727224536324
2014-09-06,13.466722201051628,3.604955411215632,9.861766789835995,54.25343200536648,25.213516214428786,29.039915790937705,173.9411191237453,112.94565115378975,60.99546796995563,269.1182769764579,337.28849945038706,-68.17022247392913,459.3353462505677,737.2257707550864,-277.8904245045187
2014-09-07,23.29208668217068,3.843231537418121,19.44885514475256,75.90466034110682,24.764233842709437,51.14042649839739,189.91530023071363,112.92072536842126,76.99457486229241,292.41036365862857,337.5474803992769,-45.13711674064827,482.6274329327384,736.3666670895328,-253.7392341567944
2014-09-08,17.9078256927248,4.090313875093237,13.817511817631562,92.92113012068657,24.869400082544367,68.05173003814221,207.40529242404486,112.9466342061457,94.45865821789921,309.27100391091585,338.09197582973565,-28.820971918819794,500.53525862546314,735.406588648613,-234.87133002314977
2014-09-09,13.878413791707356,3.507170660561614,10.371243131145741,106.79954391239393,24.686406975104752,82.11313693728918,217.166941541177,112.45388882091488,104.71305272026221,322.35486758115826,337.7934156604795,-15.438548079321277,514.4136724171705,733.8567173862722,-219.44304496910172
2014-09-10,22.003567353797038,3.56936012945818,18.43420722433886,102.82077228890874,25.230992903510966,77.58977938539778,236.6853082156235,112.10198335674863,124.58332485887496,344.3584349349553,337.87563243803834,6.482802496916939,536.4172397709675,732.9556225768636,-196.53838280589596
2014-09-11,29.14972476951656,3.578076551607884,25.571648217908674,123.83884950083711,25.576412681255242,98.2624368195819,261.11472772838255,111.86707000163155,149.24765772675104,372.4266413332029,337.82655905187704,34.60008228132588,565.5669645404842,731.6650104498455,-166.09804590936136
2014-09-12,14.614005400603254,3.330525824533666,11.283479576069588,134.31234589157128,25.523633989888335,108.78871190168296,275.670981106579,111.20620894354414,164.46477216303492,385.3578290719678,337.63450488769263,47.723324184275185,580.1809699410874,729.9982657037486,-149.81729576266133
2014-09-13,38.67610985342066,3.197742542304065,35.4783673111166,159.52173354394031,25.116421120976767,134.40531242296356,312.8907505925791,110.76797089089428,202.12277970168492,421.6577704411765,337.5041090516887,84.15366138948784,618.8570797945081,728.1033444606626,-109.24626466615449
2014-09-14,49.9197239742802,2.743837184079834,47.175886790200366,186.14937083604983,24.017026767638484,162.13234406841138,362.60507358818376,109.50129008960924,253.10378349857461,463.47372300623266,336.63908654229715,126.83463646393557,668.2446929246267,725.6709512460151,-57.426258321388374
2014-09-15,29.114274124898806,3.587638047923996,25.52663607697481,197.35581926822383,23.514350940469242,173.84146832775463,391.7193477130826,109.58209204693513,282.13725566614755,492.5879971311315,336.6571813343977,155.93081579673384,697.3589670495255,724.5442514273124,-27.18528437778687
2014-09-16,15.44055079493675,3.333131784752052,12.107419010184698,198.91795627145325,23.340312064659678,175.57764420679356,402.26569277701105,109.15596740905849,293.1097253679526,508.02854792606826,336.62632785990365,171.40222006616463,712.6837183248549,723.3336042933926,-10.649885968537605
2014-09-17,3.5106157758239753,3.645095359512633,-0.13447958368865764,180.42500469348016,23.41604729471413,157.00895739876606,403.7066252482735,109.50419417025151,294.202431078022,511.5391637018922,336.44176400093664,175.09739970095563,716.1943341006788,722.5402382706744,-6.3459041699956025
2014-09-18,17.282853468098303,3.60053888647524,13.682314581623062,168.5581333920619,23.438509629581485,145.11962376248044,416.6502367095989,109.5658895480349,307.08434716156415,528.8054375185768,336.38408522517057,192.42135229340622,733.4771875687771,721.5395669526118,11.937620616165452
2014-09-19,13.54525357512761,3.453699305365212,10.091554269762398,167.48938156658627,23.561683110413032,143.92769845617326,428.29050501176397,109.61550848900777,318.67499652275626,542.3506910937044,336.12947110972453,206.22121998397984,747.0224411439048,720.4361601253488,26.586281018555972
2014-09-20,30.96116356173441,3.511328991566582,27.449834570167827,159.7744352749,23.87526955967555,135.89916571522448,459.1684465309437,109.23685659870806,349.93158993223574,572.5966918642404,335.9047118552453,236.69198000899513,777.7107688310231,719.4337312316346,58.27703759938845
2014-09-21,21.81206518574043,3.7901514762314794,18.02191370950895,131.66677648636025,24.921583851827194,106.74519263453308,480.98051171668413,109.07175123567592,371.90876048100824,583.893542298013,336.55716788651625,247.3363744114967,799.5228340167635,718.4431703501585,81.07966366660497
2014-09-22,28.270853314156284,3.3824220861440235,24.88843122801226,130.82335567561773,24.71636789004722,106.10698778557051,509.2513650308404,108.15192092230583,401.09944410853467,604.3104337066824,336.7650362379864,267.545397468696,827.7936873309197,717.469164285314,110.32452304560577
2014-09-23,21.413841641651853,3.799379074869985,17.614462566781867,136.79664652233282,25.182615180165154,111.61403134216769,521.5052212981346,107.68703119120104,413.8181901069336,624.3943179111551,337.18965381440955,287.20466409674555,848.6902078343636,716.8006074830005,131.88960035136319
2014-09-24,24.789367307097777,3.278627649136237,21.51073965796154,158.07539805360665,24.81614746978876,133.2592505838179,542.4619464825855,107.0227132861451,435.43923319644045,645.0314203449694,337.2060303599,307.82538998506936,873.4795751414614,715.3553951979288,158.1241799435326
2014-09-25,25.524634431684778,3.1168426243765497,22.40779180730823,166.3171790171931,24.332451207690067,141.98472780950306,565.1992658037503,106.3610032816583,458.8382625220921,661.4981009427453,337.2718511253051,324.2262498174402,899.0042095731461,713.6875951656209,185.31661440752532
2014-09-26,25.654845209117713,3.5619482188423666,22.092896990275346,178.42677065118318,24.44070012116722,153.986070530016,590.7848434225768,106.04465826808132,484.7401851544955,683.032340661045,336.8224888651681,346.20985179587694,924.6590547822639,712.4609451833749,212.19810959888912
2014-09-27,12.497275400246382,3.5788819156664284,8.918393484579953,159.96288248969518,24.508253045267068,135.45462944442812,551.1303661619784,106.20990151540776,444.9204646465707,695.5296160612914,336.6782634123564,358.851352648935,937.1563301825103,711.0171036177428,226.13922656476754
2014-09-28,2.996329513463557,3.729920123458717,-0.7335906099951601,141.1471468174183,24.448021692494308,116.69912512492401,551.7255367571582,106.42546869398426,445.3000680631741,698.5259455747549,336.6967100024867,361.8292355722682,940.1526596959739,709.7413950706904,230.41126462528354
2014-09-29,11.783384819363638,3.725657772731557,8.057727046632081,124.65967832262565,24.79125737908184,99.86842094354382,548.2921976467293,106.16903783653845,442.12315981019094,708.1153885710282,336.95498389823535,371.160404672793,951.9360445153375,708.5689098572242,243.36713465811334
2014-09-30,19.834014951729998,3.506943011963723,16.327071939766274,123.07985163270381,24.49882131617558,98.58103031652826,566.485354252029,105.3834669393647,461.10188731266436,726.8945146862518,336.87017448945994,390.02434019679197,971.7700594670674,707.2631726027801,264.5068868642874
2014-10-01,9.670342650682855,3.60315756363041,6.0671850870524455,107.96082697628889,24.82335123066975,83.13747574561914,575.2643409895668,105.0014768677368,470.26286412183003,734.9602802722119,336.88547749456956,398.0748027776423,981.4404021177503,705.893384176021,275.54701794172945
2014-10-02,15.534402058917298,3.2818056300900573,12.25259642882724,97.97059460352139,24.98831423638326,72.98228036713816,590.7987430484841,104.59311872982562,486.2056243186585,750.4946823311292,336.2904667019519,414.20421562917727,996.9748041766676,704.2494942083713,292.7253099682964
2014-10-03,2.527731597403618,3.449816092510295,-0.9220844951066773,74.8434809918073,24.87618211005119,49.967298881756136,567.3441356686054,105.01816062128395,462.3259750473216,753.0224139285327,335.7492171128782,417.2731968156545,999.5025357740712,703.0229565259525,296.47957924811874
