fecha,nivel_diario_m
2017-05-15,0.6003
2017-05-16,0.584
2017-05-17,0.5755
2017-05-18,0.7648
2017-05-19,0.7581
2017-05-20,0.8646
2017-05-21,1.4524
2017-05-22,1.571
2017-05-23,0.9551
2017-05-24,0.7795
2017-05-25,1.0723
2017-05-26,0.9092
2017-05-27,0.8407
2017-05-28,1.0392
2017-05-29,0.8599
2017-05-30,1.0015
2017-05-31,0.8194
2017-06-01,0.734
2017-06-02,0.7069
2017-06-03,0.6858
2017-06-04,0.6725
2017-06-05,0.6718
2017-06-06,0.6901
2017-06-07,1.1427
2017-06-08,0.8564
2017-06-09,0.8119
2017-06-10,0.8828
2017-06-11,0.9082
2017-06-12,0.7608
2017-06-13,1.0395
2017-06-14,1.0688
2017-06-15,1.2346
2017-06-16,1.2087
2017-06-17,1.4111
2017-06-18,1.3017
2017-06-19,1.0841
2017-06-20,0.988
2017-06-21,0.969
2017-06-22,1.1222
2017-06-23,0.9984
2017-06-24,1.0412
2017-06-25,0.8814
2017-06-26,0.8249
2017-06-27,0.8217
2017-06-28,0.8914
2017-06-29,0.8735
2017-06-30,0.8183
2017-07-01,1.0659
2017-07-02,1.0044
2017-07-03,0.9439
2017-07-04,0.9323
2017-07-05,0.9382
2017-07-06,0.872
2017-07-07,0.8568
2017-07-08,0.8402
2017-07-09,0.8115
2017-07-10,0.8091
2017-07-11,0.7944
2017-07-12,0.7825
2017-07-13,0.7798
2017-07-14,0.7878
2017-07-15,0.7707
2017-07-16,0.7578
2017-07-17,0.771
2017-07-18,0.7782
2017-07-19,0.7881
2017-07-20,0.8217
2017-07-21,0.8792
2017-07-22,0.8586
2017-07-23,0.812
2017-07-24,0.8101
2017-07-25,0.7866
2017-07-26,0.8388
2017-07-27,0.8422
2017-07-28,0.8113
2017-07-29,0.8033
2017-07-30,0.8364
2017-07-31,1.0561
2017-08-01,0.9877
2017-08-02,0.862
2017-08-03,0.8178
2017-08-04,0.816
2017-08-05,0.8693
2017-08-06,1.1531
2017-08-07,0.9536
2017-08-08,0.8738
2017-08-09,0.8017
2017-08-10,0.7772
2017-08-11,0.7642
2017-08-12,0.7266
2017-08-13,0.741
2017-08-14,0.7837
2017-08-15,0.729
2017-08-16,0.7218
2017-08-17,0.7191
2017-08-18,0.7077
2017-08-19,0.6982
2017-08-20,0.7408
2017-08-21,0.9145
2017-08-22,0.7344
2017-08-23,0.71
2017-08-24,0.7852
2017-08-25,1.0222
2017-08-26,0.7865
2017-08-27,0.7367
